This is the 28 run,Van_Wyck_Expy_Kew_Gardens_NY_11415_USA,Cross_Island_Pkwy_Floral_Park_NY_11001_USA
Robert_F._Kennedy_Bridge_Astoria_NY_11103_USA,831,1571
Queens_Midtown_Expy_Maspeth_NY_11378_USA,759,1520


This is the 29 run,Bronx-Whitestone_Bridge_Whitestone_NY_11357_USA,Throgs_Neck_Bridge_Queens_NY_USA
Van_Wyck_Expy_Kew_Gardens_NY_11415_USA,1222,1164
Cross_Island_Pkwy_Floral_Park_NY_11001_USA,663,560


This is the 30 run,Van_Wyck_Expy_Kew_Gardens_NY_11415_USA,Cross_Island_Pkwy_Floral_Park_NY_11001_USA
Long_Island_Expy_Little_Neck_NY_11362_USA,1114,255
249-05_Grand_Central_Pkwy_Flushing_NY_11362_USA,1016,197


This is the 31 run,Robert_F._Kennedy_Bridge_Astoria_NY_11105_USA,Queens_Midtown_Expy_Maspeth_NY_11378_USA
Van_Wyck_Expy_Kew_Gardens_NY_11415_USA,1246,1040
Cross_Island_Pkwy_Floral_Park_NY_11001_USA,1581,1647


This is the 32 run,Van_Wyck_Expy_Kew_Gardens_NY_11415_USA,Cross_Island_Pkwy_Floral_Park_NY_11001_USA
Bronx-Whitestone_Bridge_Whitestone_NY_11357_USA,736,691
Throgs_Neck_Bridge_Queens_NY_USA,1209,596


This is the 33 run,Robert_F._Kennedy_Bridge_Astoria_NY_11105_USA,Queens_Midtown_Expy_Maspeth_NY_11378_USA
Bronx-Whitestone_Bridge_Whitestone_NY_11357_USA,966,975
Throgs_Neck_Bridge_Queens_NY_USA,1374,1525


This is the 34 run,Robert_F._Kennedy_Bridge_Astoria_NY_11105_USA,Queens_Midtown_Expy_Maspeth_NY_11378_USA
Long_Island_Expy_Little_Neck_NY_11362_USA,1368,1347
249-05_Grand_Central_Pkwy_Flushing_NY_11362_USA,1413,1418


This is the 35 run,Long_Island_Expy_Little_Neck_NY_11362_USA,249-05_Grand_Central_Pkwy_Flushing_NY_11362_USA
Bronx-Whitestone_Bridge_Whitestone_NY_11357_USA,485,647
Throgs_Neck_Bridge_Queens_NY_USA,385,555


